Sansad Marg H.O,Delhi,110001,77.2162,28.6371
New Delhi G.P.O. ,Delhi,110001,77.2162,28.6371
Indraprastha H.O,Delhi,110002,77.3,28.4833
Lodi Road H.O,Delhi,110003,77.2329,28.6105
Delhi G.P.O. ,Delhi,110006,77.2329,28.6105
Ramesh Nagar H.O,Delhi,110015,77.2779,28.5345
Kalkaji H.O,Delhi,110019,77.2513,28.5485
Sarojini Nagar H.O,Delhi,110023,77.0907,28.5796
Naraina Industrial Estate H.O,Delhi,110028,76.9439,28.6094
Krishna Nagar H.O,Delhi,110051,76.5918,28.3256
Ashok Vihar H.O,Delhi,110052,73.9262,26.9263
Jhilmil H.O,Delhi,110095,77.7988,29.1765
Faridabad NIT H.O,Haryana,121001,78.6598,26.4983
Gurgaon H.O,Haryana,122001,79.2305,27.9972
Narnaul H.O,Haryana,123001,76.1083,28.0444
Rohtak H.O,Haryana,124001,76.5754,28.8884
Bahadurgarh H.O,Haryana,124507,76.9316,28.6911
Hisar H.O,Haryana,125001,75.7368,29.149
Sirsa H.O,Haryana,125055,75.029,29.5349
Jind H.O,Haryana,126102,76.3144,29.3162
Bhiwani H.O,Haryana,127021,76.1411,28.7919
Sonipat H.O,Haryana,131001,77.0116,28.9959
Karnal H.O,Haryana,132001,76.9884,29.6901
Panipat H.O,Haryana,132103,76.9695,29.39
Ambala G.P.O.,Haryana,133001,76.2644,29.321
Ambala City H.O,Haryana,134003,77.2044,28.6716
Yamunanagar H.O,Haryana,135001,77.2805,30.1291
Kurukshetra H.O,Haryana,136118,76.837,29.9657
Ropar H.O,Punjab,140001,76.5256,30.9688
Rajpura H.O,Punjab,140401,78.3885,28.3407
Ludhiana H.O,Punjab,141001,75.8523,30.9001
Khanna H.O,Punjab,141401,76.2211,30.703
Moga H.O,Punjab,142001,75.2591,28.2892
Jagraon H.O,Punjab,142026,75.4749,30.7901
Amritsar G.P.O. ,Punjab,143001,78.5157,13.1995
Tarn Taran H.O,Punjab,143401,74.9254,31.4511
Batala H.O,Punjab,143505,75.2028,31.8186
Gurdaspur H.O,Punjab,143521,79.7015,27.5395
Jalandhar City H.O,Punjab,144001,75.5792,31.3256
Jalandhar Cantt H.O,Punjab,144005,74.9579,28.067
Dasuya H.O,Punjab,144205,75.6531,31.8156
Phagwara H.O,Punjab,144401,75.7717,31.2185
Kapurthala H.O,Punjab,144601,75.3811,31.3801
Hoshiarpur H.O,Punjab,146001,75.908,31.5324
Patiala H.O,Punjab,147001,76.4027,30.3271
Sangrur H.O,Punjab,148001,75.8469,30.2461
Bathinda H.O,Punjab,151001,74.95,30.23
Faridkot H.O,Punjab,151203,74.7583,30.6724
Ferozepur H.O,Punjab,152001,76.943,27.7891
Chandigarh G.P.O. ,Punjab,160017,76.5054,31.8336
Shimla G.P.O. ,Himachal Pradesh,171001,74.9071,32.4999
Rampur Bushahr H.O,Himachal Pradesh,172001,77.6292,31.4492
Reckong Peo H.O,Himachal Pradesh,172107,78.2721,31.5399
Nahan H.O,Himachal Pradesh,173001,77.294,30.5606
Solan H.O,Himachal Pradesh,173212,77.1087,30.9086
Bilaspur (Bilaspur- HP) H.O,Himachal Pradesh,174001,77.1813,26.9714
Una H.O,Himachal Pradesh,174303,76.2691,31.4649
Barsar H.O,Himachal Pradesh,174305,76.0626,29.2835
Mandi H.O,Himachal Pradesh,175001,76.7726,28.7806
Sunder Nagar Town Ship H.O,Himachal Pradesh,175019,76.2704,29.158
Kullu H.O,Himachal Pradesh,175101,79.47,27.9703
Keylong H.O,Himachal Pradesh,175132,77.0773,32.5951
Kangra H.O,Himachal Pradesh,176001,76.2607,32.0909
Palampur H.O,Himachal Pradesh,176061,76.5568,32.1145
Dharamsala H.O,Himachal Pradesh,176215,76.3213,32.2419
Chamba H.O,Himachal Pradesh,176310,78.3929,30.3438
Hamirpur H.O,Himachal Pradesh,177001,80.1488,25.9558
Dehra H.O,Himachal Pradesh,177101,77.0536,29.9983
Jammu H.O,Jammukashmir,180001,74.8691,32.7357
Gandhinagar H.O,Jammukashmir,180004,74.8667,32.7
Udhampur H.O,Jammukashmir,182101,75.1357,32.9243
Kathua H.O,Jammukashmir,184101,75.5246,32.3707
Rajouri H.O,Jammukashmir,185131,76.8852,30.3863
Srinagar G.P.O. ,Jammukashmir,190001,74.72,34.1169
Anantnag H.O,Jammukashmir,192101,75.1517,33.7299
Baramulla H.O,Jammukashmir,193101,80.2954,23.7709
Leh H.O,Jammukashmir,194101,77.584,34.165
Ghaziabad H.O,Uttar Pradesh,201001,77.4378,28.6625
Noida H.O,Uttar Pradesh,201301,77.33,28.58
Aligarh H.O,Uttar Pradesh,202001,78.0748,27.8833
Bulandshahr H.O,Uttar Pradesh,203001,77.8582,28.403
Khurja H.O,Uttar Pradesh,203131,77.8544,28.2544
Mainpuri H.O,Uttar Pradesh,205001,79.0288,27.23
Etawah H.O,Uttar Pradesh,206001,79.0216,26.7778
Auraiya H.O,Uttar Pradesh,206122,79.5117,26.4631
Etah H.O,Uttar Pradesh,207001,78.6635,27.5581
Kanpur H.O,Uttar Pradesh,208001,80.3463,26.4478
Nawabganj H.O,Uttar Pradesh,208002,80.3141,26.496
Kanpur Cantt. H.O,Uttar Pradesh,208004,80.7402,25.2845
Fatehgarh H.O,Uttar Pradesh,209601,79.6312,27.3646
Unnao H.O,Uttar Pradesh,209801,80.4878,26.5471
Banda H.O,Uttar Pradesh,210001,80.3358,25.4753
Hamirpur H.O,Uttar Pradesh,210301,80.1488,25.9558
Allahabad H.O,Uttar Pradesh,211001,81.8333,25.4489
Allahabad Kty. H.O,Uttar Pradesh,211002,81.8431,25.4567
Fatehpur H.O,Uttar Pradesh,212601,79.3879,27.0746
Varanasi H.O,Uttar Pradesh,221001,83.0104,25.3167
Varanasi Cantt H.O,Uttar Pradesh,221002,81.4706,26.3148
Rasra H.O,Uttar Pradesh,221712,83.8546,25.8569
Jaunpur H.O,Uttar Pradesh,222001,82.6813,26.0526
Faizabad H.O,Uttar Pradesh,224001,82.1329,26.7769
Akbarpur H.O,Uttar Pradesh,224122,79.6931,26.0181
Barabanki H.O,Uttar Pradesh,225001,82.7304,20.4358
Lucknow G.P.O. ,Uttar Pradesh,226001,82.6196,24.7307
Lucknow Chowk H.O,Uttar Pradesh,226003,88.4,25.2813
Amethi H.O,Uttar Pradesh,227405,81.8057,26.1568
Sultanpur (Avadh) H.O,Uttar Pradesh,228001,79.0596,26.0889
Raebarely H.O,Uttar Pradesh,229001,77.8403,26.797
Lalganj (Raebareli) H.O,Uttar Pradesh,229206,80.2154,26.4272
Pratapgarh H.O,Uttar Pradesh,230001,81.9404,25.8964
Mirzapur H.O,Uttar Pradesh,231001,79.4177,27.0108
Ghazipur H.O,Uttar Pradesh,233001,80.7508,25.8007
Hardoi H.O,Uttar Pradesh,241001,79.0725,26.9366
Shahjahanpur H.O,Uttar Pradesh,242001,77.8219,30.2
Bareilly H.O,Uttar Pradesh,243001,79.4219,28.347
Budaun H.O,Uttar Pradesh,243601,79.1263,28.0362
Moradabad H.O,Uttar Pradesh,244001,78.7768,28.8389
Amroha H.O,Uttar Pradesh,244221,78.4698,28.9031
Rampur H.O,Uttar Pradesh,244901,79.6599,26.9374
Hapur H.O,Uttar Pradesh,245101,77.7814,28.7304
Pauri H.O,Uttarakhand,246001,78.77,30.1536
Kotdwara H.O,Uttarakhand,246149,78.5195,29.7434
Lansdowne H.O,Uttarakhand,246155,78.6788,29.841
Gopeshwar H.O,Uttarakhand,246401,79.3198,30.4125
Bijnor H.O,Uttar Pradesh,246701,78.2689,29.1351
Dhampur H.O,Uttar Pradesh,246761,78.508,29.306
Saharanpur H.O,Uttar Pradesh,247001,77.5452,29.9679
Roorkee H.O,Uttarakhand,247667,77.8913,29.8631
Dehradun G.P.O. ,Uttarakhand,248001,78.5773,26.6409
Dehradun Cantt H.O,Uttarakhand,248003,71.6955,27.8232
Tehri H.O,Uttarakhand,249001,78.4803,30.3909
Meerut Cantt H.O,Uttar Pradesh,250001,77.2404,28.9614
Meerut City H.O,Uttar Pradesh,250002,77.7193,28.9716
Baraut H.O,Uttar Pradesh,250611,77.2624,29.1017
Muzaffarnagar H.O,Uttar Pradesh,251001,77.7041,29.4739
Sitapur H.O,Uttar Pradesh,261001,80.8714,25.1811
Pilibhit H.O,Uttar Pradesh,262001,79.8034,28.631
Pithoragarh H.O,Uttarakhand,262501,80.2095,29.5835
Kheri H.O,Uttar Pradesh,262701,79.3132,25.4504
Nainital H.O,Uttarakhand,263001,79.4469,29.3974
Haldwani H.O,Uttarakhand,263139,79.5286,29.2225
Almora H.O,Uttarakhand,263601,79.6609,29.5973
Ranikhet H.O,Uttarakhand,263645,79.4334,29.6423
Gonda H.O,Uttar Pradesh,271001,81.969,27.1325
Balrampur H.O,Uttar Pradesh,271201,79.457,27.1208
Bahraich H.O,Uttar Pradesh,271801,81.5959,27.5743
Basti H.O,Uttar Pradesh,272001,82.7328,26.7945
Bansi H.O,Uttar Pradesh,272153,82.9341,27.1798
Gorakhpur H.O,Uttar Pradesh,273001,83.3724,26.7548
Kunraghat H.O,Uttar Pradesh,273008,79.8689,26.9797
Deoria H.O,Uttar Pradesh,274001,85.0234,26.1791
Padrauna H.O,Uttar Pradesh,274304,83.981,26.9042
Mau H.O,Uttar Pradesh,275101,80.872,25.6121
Azamgarh H.O,Uttar Pradesh,276001,83.1836,26.0676
Ballia H.O,Uttar Pradesh,277001,79.3655,28.2013
Mathura H.O,Uttar Pradesh,281001,77.6833,27.502
Agra H.O,Uttar Pradesh,282001,77.4254,24.9888
Agra Fort H.O,Uttar Pradesh,282003,77.8815,27.7563
Firozabad H.O,Uttar Pradesh,283203,78.4018,27.1494
Jhansi H.O,Uttar Pradesh,284001,78.5822,25.4545
Lalitpur H.O,Uttar Pradesh,284403,78.4189,24.6905
Orai H.O,Uttar Pradesh,285001,79.4532,25.9907
Alwar H.O,Rajasthan,301001,76.625,27.5625
Bahror H.O,Rajasthan,301701,79.5318,23.9247
Jaipur G.P.O. ,Rajasthan,302001,75.7878,26.9196
Jawahar Nagar H.O,Rajasthan,302004,75.7878,26.9196
Shastri Nagar H.O,Rajasthan,302016,75.787,26.9258
Shahpura H.O,Rajasthan,303103,75.9596,27.3912
Dausa H.O,Rajasthan,303303,76.3358,26.89
Sambhar Lake H.O,Rajasthan,303604,75.1914,26.9081
Tonk Raj H.O,Rajasthan,304001,76.8606,27.1585
Ajmer H.O,Rajasthan,305001,74.6412,26.4498
Nasirabad H.O,Rajasthan,305601,74.7336,26.3047
Madanganj Kishangarh H.O,Rajasthan,305801,75.6097,27.7352
Beawar [Raj] H.O,Rajasthan,305901,74.7731,26.6943
Marwar Jn. H.O,Rajasthan,306001,76.0223,28.8684
Pali Marwar H.O,Rajasthan,306401,73.3234,25.7728
Sirohi H.O,Rajasthan,307001,72.8479,24.8884
Bhilwara H.O,Rajasthan,311001,74.6352,25.3464
Chittorgarh H.O,Rajasthan,312001,75.8122,24.8856
Udaipur H.O,Rajasthan,313004,73.6918,24.5712
Kankroli H.O,Rajasthan,313324,73.8882,25.0588
Dungarpur H.O,Rajasthan,314001,73.7147,23.8431
Bharatpur H.O,Rajasthan,321001,79.3899,27.127
Deeg H.O,Rajasthan,321203,77.3256,27.4719
Sawaimadhopur H.O,Rajasthan,322001,78.7781,28.1736
Gangapur H.O,Rajasthan,322201,75.9973,23.8689
Hindaun H.O,Rajasthan,322230,77.0352,26.7341
Bundi H.O,Rajasthan,323001,75.6374,25.4385
Kota H.O,Rajasthan,324001,75.8391,25.1825
New Grain Mandi Kota H.O,Rajasthan,324007,75.7841,25.102
Jhalawar H.O,Rajasthan,326001,76.165,24.5968
Banswara H.O,Rajasthan,327001,74.4425,23.5411
Dholpur H.O,Rajasthan,328001,74.9528,32.6667
Churu H.O,Rajasthan,331001,74.9672,28.3042
Ratangarh H.O,Rajasthan,331022,74.6185,28.0814
Sikar H.O,Rajasthan,332001,75.14,27.6121
Srimadhopur H.O,Rajasthan,332715,76.7503,26.0195
Jhunjhunu H.O,Rajasthan,333001,75.398,28.1256
Chirawa H.O,Rajasthan,333026,75.6404,28.2394
Bikaner H.O,Rajasthan,334001,73.3075,28.0209
Sriganganagar H.O,Rajasthan,335001,75.0348,29.5973
Hanumangarh Jn. H.O,Rajasthan,335512,75.5484,28.4715
Nagaur H.O,Rajasthan,341001,73.7339,27.202
Didwana H.O,Rajasthan,341303,74.5754,27.401
Makrana H.O,Rajasthan,341505,74.7245,27.0436
Jodhpur H.O,Rajasthan,342001,73.0059,26.2684
Jalore H.O,Rajasthan,343001,72.8598,25.2918
Barmer H.O,Rajasthan,344001,71.3921,25.7457
Jaisalmer H.O,Rajasthan,345001,70.9039,26.9176
Rajkot H.O,Gujarat,360001,75.5878,25.7368
Gondal H.O,Gujarat,360311,70.8025,21.9607
Porbandar H.O,Gujarat,360575,69.6093,21.6422
Jamnagar H.O,Gujarat,361001,70.0667,22.4729
Junagadh H.O,Gujarat,362001,70.4598,21.5197
Surendranagar H.O,Gujarat,363001,71.6486,22.7271
Bhavnagar H.O,Gujarat,364001,72.1525,21.7745
Amreli H.O,Gujarat,365601,71.2117,21.5998
Bhuj H.O,Gujarat,370001,69.6693,23.254
Ahmedabad G.P.O. ,Gujarat,380001,72.5769,23.0256
Revdibazar H.O,Gujarat,380002,72.6181,23.0333
Navrangpura H.O,Gujarat,380009,72.6181,23.0333
Gandhinagar (Gujarat) H.O,Gujarat,382010,72.6833,23.2167
Dholka H.O,Gujarat,382225,72.4413,22.7273
Kalol H.O,Gujarat,382721,73.4627,22.6078
Himatnagar H.O,Gujarat,383001,72.966,23.5989
Mahesana H.O,Gujarat,384001,72.3847,23.5986
Patan H.O,Gujarat,384265,78.8715,24.1285
Palanpur H.O,Gujarat,385001,72.4382,24.171
Nadiad H.O,Gujarat,387001,72.8616,22.6939
Kheda H.O,Gujarat,387411,72.6853,22.7522
Anand H.O,Gujarat,388001,72.9552,22.5525
Godhra H.O,Gujarat,389001,73.6149,22.7755
Dahod H.O,Gujarat,389151,77.4898,23.0362
Vadodara H.O,Gujarat,390001,73.2081,22.2994
Fateganj H.O,Gujarat,390002,73.1818,22.3152
Dabhoi H.O,Gujarat,391110,73.4333,22.1833
Bharuch H.O,Gujarat,392001,72.9805,21.6948
Bardoli H.O,Gujarat,394601,73.1115,21.123
Nanpura H.O,Gujarat,395001,74.5841,24.0735
Surat H.O,Gujarat,395003,72.8302,21.1959
Valsad H.O,Gujarat,396001,72.9284,20.6173
Bilimora H.O,Gujarat,396321,72.9613,20.7696
Navsari H.O,Gujarat,396445,72.9167,20.85
Mumbai G.P.O. ,Maharashtra,400001,72.8919,18.6291
Kalbadevi H.O,Maharashtra,400002,73.291,17.0509
Mumbai Central H.O,Maharashtra,400008,72.8919,18.6291
Chinchbunder H.O,Maharashtra,400009,72.8919,18.6291
Dadar H.O,Maharashtra,400014,72.8381,19.0201
Mahim H.O,Maharashtra,400016,72.85,19.0333
Andheri H.O,Maharashtra,400053,72.8526,19.1309
Chembur H.O,Maharashtra,400071,72.8929,19.0348
Borivali H.O,Maharashtra,400091,72.8598,19.235
Thane H.O,Maharashtra,400601,72.9636,19.197
Palghar H.O,Maharashtra,401404,72.7654,19.6969
Alibag H.O,Maharashtra,402201,72.8758,18.6481
Panaji H.O,Maharashtra,403001,73.8262,15.4957
Margao H.O,Maharashtra,403601,73.9579,15.275
Panvel H.O,Maharashtra,410206,73.1101,18.9888
Pune H.O,Maharashtra,411001,73.8554,18.5196
Pune City H.O,Maharashtra,411002,73.9801,18.8671
Shivajinagar H.O,Maharashtra,411005,73.8471,18.5247
Solapur H.O,Maharashtra,413001,75.9104,17.6715
Pandharpur H.O,Maharashtra,413304,75.331,17.6792
Osmanabad H.O,Maharashtra,413501,76.0389,18.1816
Latur H.O,Maharashtra,413512,76.5678,18.3972
Shrirampur H.O,Maharashtra,413709,88.3422,22.7528
Ahmednagar H.O,Maharashtra,414001,74.7384,19.0946
Satara H.O,Maharashtra,415001,73.9933,17.6859
Karad H.O,Maharashtra,415110,74.1818,17.2894
Chiplun H.O,Maharashtra,415605,73.5094,17.5334
Ratnagiri H.O,Maharashtra,415612,73.3102,16.9915
Kolhapur H.O,Maharashtra,416003,74.2317,16.6956
Kolhapur City H.O,Maharashtra,416012,74.4123,18.5966
Ichalkaranji H.O,Maharashtra,416115,74.4605,16.6912
Miraj H.O,Maharashtra,416410,74.6466,16.8242
Sangli H.O,Maharashtra,416416,74.5642,16.8544
Sawantwadi H.O,Maharashtra,416510,73.8076,18.2905
Malvan H.O,Maharashtra,416606,73.4629,16.0598
Kalyan City H.O,Maharashtra,421301,74.7794,19.9626
Nashik H.O,Maharashtra,422001,73.791,19.9973
Nashik Road H.O,Maharashtra,422101,74.5064,19.5743
Malegaon H.O,Maharashtra,423203,74.5288,20.5537
Dhule H.O,Maharashtra,424001,74.7773,20.9025
Chalisgaon H.O,Maharashtra,424101,75.0121,20.4632
Jalgaon H.O,Maharashtra,425001,76.5346,21.0519
Bhusawal H.O,Maharashtra,425201,75.7818,21.0466
Aurangabad (MH) H.O,Maharashtra,431001,75.6854,25.5396
Beed H.O,Maharashtra,431122,75.7563,18.9892
Jalna H.O,Maharashtra,431203,75.8864,19.841
Parbhani H.O,Maharashtra,431401,76.7708,19.2686
Nanded H.O,Maharashtra,431601,77.315,19.1602
Nagpur GPO,Maharashtra,440001,79.0849,21.1463
Nagpur City H.O,Maharashtra,440002,79.0849,21.1463
Kamthi H.O,Maharashtra,441001,79.1945,21.2171
Gondia H.O,Maharashtra,441601,80.192,21.4601
Bhandara H.O,Maharashtra,441904,79.65,21.1667
Wardha H.O,Maharashtra,442001,78.5967,20.7381
Chandrapur H.O,Maharashtra,442401,79.2961,19.9471
Buldana H.O,Maharashtra,443001,76.1846,20.5293
Akola H.O,Maharashtra,444001,76.9981,20.7096
Khamgaon H.O,Maharashtra,444303,76.5683,20.7074
Amravati H.O,Maharashtra,444601,77.75,20.9333
Paratwada H.O,Maharashtra,444805,77.518,21.2991
Yavatmal H.O,Maharashtra,445001,78.1306,20.3968
Khandwa H.O,Madhya Pradesh,450001,76.352,21.8245
Khargone H.O,Madhya Pradesh,451001,75.6107,21.8253
Indore G.P.O. ,Madhya Pradesh,452001,75.4049,23.1535
Indore Nagar H.O,Madhya Pradesh,452007,75.4049,23.1535
Dhar H.O,Madhya Pradesh,454001,75.2977,22.5937
Dewas H.O,Madhya Pradesh,455001,76.0553,22.9659
Ujjain H.O,Madhya Pradesh,456001,75.7764,23.1824
Ratlam H.O,Madhya Pradesh,457001,75.0403,23.3303
Jhabua H.O,Madhya Pradesh,457661,74.5914,22.7682
Mandsaur H.O,Madhya Pradesh,458001,75.0699,24.0718
Neemuch H.O,Madhya Pradesh,458441,74.91,24.25
Betul H.O,Madhya Pradesh,460001,77.9041,21.9019
Hoshangabad H.O,Madhya Pradesh,461001,77.7225,22.7536
Bhopal G.P.O. ,Madhya Pradesh,462001,75.1283,23.6066
C.T.T.Nagar H.O,Madhya Pradesh,462003,75.1283,23.6066
Bhel H.O,Madhya Pradesh,462022,78.5653,29.8016
Vidisha H.O,Madhya Pradesh,464001,77.8097,23.5243
Raisen H.O,Madhya Pradesh,464551,77.7821,23.3306
Shajapur H.O,Madhya Pradesh,465001,76.2777,23.4269
Rajgarh(Bia) H.O,Madhya Pradesh,465661,77.463,25.5275
Sehore H.O,Madhya Pradesh,466001,77.0833,23.2
Sagar Cantt H.O,Madhya Pradesh,470001,78.531,24.7207
Damoh H.O,Madhya Pradesh,470661,79.4413,23.8365
Chhatarpur H.O,Madhya Pradesh,471001,79.5878,24.9142
Tikamgarh H.O,Madhya Pradesh,472001,78.8314,24.7441
Guna H.O,Madhya Pradesh,473001,77.3119,24.6476
Ashoknagar H.O,Madhya Pradesh,473331,77.7304,24.5747
Shivpuri H.O,Madhya Pradesh,473551,77.6607,25.4235
Lashkar H.O,Madhya Pradesh,474001,78.1533,26.1997
Morar H.O,Madhya Pradesh,474006,78.2248,26.2264
Morena H.O,Madhya Pradesh,476001,78.0016,26.5029
Bhind H.O,Madhya Pradesh,477001,78.7873,26.5667
Chhindwara H.O,Madhya Pradesh,480001,78.9376,22.058
Seoni H.O,Madhya Pradesh,480661,79.5414,22.3934
Balaghat H.O,Madhya Pradesh,481001,80.1849,21.8167
Mandla H.O,Madhya Pradesh,481661,80.3711,22.5997
Jabalpur H.O,Madhya Pradesh,482001,79.9501,23.167
Katni H.O,Madhya Pradesh,483501,80.3948,23.8368
Shahdol H.O,Madhya Pradesh,484001,81.3619,23.2936
Satna H.O,Madhya Pradesh,485001,80.8248,24.5822
Rewa H.O,Madhya Pradesh,486001,81.296,24.534
Sidhi H.O,Madhya Pradesh,486661,81.8794,24.3933
Narsinghpur H.O,Madhya Pradesh,487001,79.1893,23.2662
Ibsb Bhilai H.O,Chattisgarh,490001,80.0785,22.9332
Durg H.O,Chattisgarh,491001,81.2833,21.1833
Rajnandgaon H.O,Chattisgarh,491441,80.4052,21.6534
Raipur H.O,Chattisgarh,492001,79.4334,25.4795
Jagdalpur H.O,Chattisgarh,494001,82.9384,21.1264
Kanker H.O,Chattisgarh,494334,81.492,20.2722
Bilaspur (Bilaspur-CGH) H.O,Chattisgarh,495001,82.0162,22.1235
Korba H.O,Chattisgarh,495677,82.6963,22.3458
Raigarh H.O,Chattisgarh,496001,83.4,21.9
Ambikapur H.O,Chattisgarh,497001,83.1954,23.1189
Hyderabad G.P.O. ,Andhra Pradesh,500001,78.6003,17.8669
Hyderabad Jubilee H.O,Andhra Pradesh,500002,78.6003,17.8669
Secunderabad H.O,Andhra Pradesh,500003,78.5426,17.5043
Khairatabad H.O,Andhra Pradesh,500004,78.6003,17.8669
Trimulgherry H.O,Andhra Pradesh,500015,78.5167,17.4703
Stn Kachiguda H.O,Andhra Pradesh,500027,78.0179,17.3995
Vikarabad H.O,Andhra Pradesh,501101,77.9044,17.3381
Sangareddy H.O,Andhra Pradesh,502001,78.5573,18.3538
Siddipet H.O,Andhra Pradesh,502103,78.8486,18.1048
Medak H.O,Andhra Pradesh,502110,78.2608,18.0453
Zaheerabad H.O,Andhra Pradesh,502220,77.6099,17.5806
Nizamabad H.O,Andhra Pradesh,503001,78.0988,18.6715
Kamareddy H.O,Andhra Pradesh,503111,78.1518,17.8826
Armoor H.O,Andhra Pradesh,503224,78.4563,18.9895
Adilabad H.O,Andhra Pradesh,504001,78.5359,19.672
Mancherial H.O,Andhra Pradesh,504208,79.4286,18.8707
Karimnagar H.O,Andhra Pradesh,505001,79.1286,18.4392
Peddapalli H.O,Andhra Pradesh,505172,78.404,16.3748
Jagtial H.O,Andhra Pradesh,505327,78.9166,18.7947
Huzurabad H.O,Andhra Pradesh,505468,79.3988,18.2009
Hanamkonda H.O,Andhra Pradesh,506001,79.5694,18.0101
Warangal H.O,Andhra Pradesh,506002,79.5833,18
Mahabubabad H.O,Andhra Pradesh,506101,80.7199,18.0574
Parkal H.O,Andhra Pradesh,506164,79.7007,18.1984
Jangaon H.O,Andhra Pradesh,506167,79.1524,17.726
Khammam H.O,Andhra Pradesh,507001,80.1437,17.2477
Kothagudem Colls H.O,Andhra Pradesh,507101,80.6189,17.4307
Bhadrachalam H.O,Andhra Pradesh,507111,80.8889,17.6685
Nalgonda H.O,Andhra Pradesh,508001,79.2671,17.0544
Bhongir H.O,Andhra Pradesh,508116,78.8856,17.5154
Miryalguda H.O,Andhra Pradesh,508207,79.5625,16.8722
Suryapet H.O,Andhra Pradesh,508213,79.6204,17.1405
Mahabubnagar H.O,Andhra Pradesh,509001,79.6804,20.969
Wanaparthy H.O,Andhra Pradesh,509103,78.0689,16.3674
Gadwal H.O,Andhra Pradesh,509125,77.7956,16.235
Stn. Jadcherla H.O,Andhra Pradesh,509301,78.3782,17.1844
Anantapur H.O,Andhra Pradesh,515001,77.5988,14.6794
Hindupur H.O,Andhra Pradesh,515201,77.6453,12.9596
Dharmavaram H.O,Andhra Pradesh,515671,77.72,14.4149
Guntakal H.O,Andhra Pradesh,515801,77.3657,15.1713
